State,Abbrev,TaxType,TopRate,TopBracketStart,TaxType_str,TaxType_str_short,fill_color,label_color
Alabama,AL,2,5.00%,$6k,Nearly flat state income tax rates,Nearly flat income tax rates,purple,black
Alaska,AK,0,0.00%,$0,No state labor income tax,No income tax,#D8D3D3,black
Arizona,AZ,1,2.50%,$0,Flat state income tax rate,Flat income tax rate,red,black
Arkansas,AR,3,3.70%,$36.8k,Progressive state income tax rates,Progressive income tax rates,blue,white
California,CA,3,13.30%,$1.485906m,Progressive state income tax rates,Progressive income tax rates,blue,white
Colorado,CO,3,4.40%,$32.2k,Progressive state income tax rates,Progressive income tax rates,blue,white
Connecticut,CT,3,6.99%,$1m,Progressive state income tax rates,Progressive income tax rates,blue,white
Delaware,DE,3,6.60%,$60k,Progressive state income tax rates,Progressive income tax rates,blue,white
District of Columbia,DC,3,10.75%,$1m,Progressive state income tax rates,Progressive income tax rates,blue,white
Florida,FL,0,0.00%,$0,No state labor income tax,No income tax,#D8D3D3,black
Georgia,GA,1,5.19%,$0,Flat state income tax rate,Flat income tax rate,red,black
Hawaii,HI,3,11.00%,$650k,Progressive state income tax rates,Progressive income tax rates,blue,white
Idaho,ID,2,5.3%,"$41,822",Nearly flat state income tax rates,Nearly flat income tax rates,purple,black
Illinois,IL,1,4.95%,$0,Flat state income tax rate,Flat income tax rate,red,black
Indiana,IN,1,2.95%,$0,Flat state income tax rate,Flat income tax rate,red,black
Iowa,IA,3,3.80%,$32.2k,Progressive state income tax rates,Progressive income tax rates,blue,white
Kansas,KS,3,5.58%,$46k,Progressive state income tax rates,Progressive income tax rates,blue,white
Kentucky,KY,1,3.50%,$0,Flat state income tax rate,Flat income tax rate,red,black
Louisiana,LA,1,3.00%,$0,Flat state income tax rate,Flat income tax rate,red,black
Maine,ME,3,7.15%,$129.749k,Progressive state income tax rates,Progressive income tax rates,blue,white
Maryland,MD,3,6.50%,$1.2m,Progressive state income tax rates,Progressive income tax rates,blue,white
Massachusetts,MA,3,9.00%,$1.083150m,Progressive state income tax rates,Progressive income tax rates,blue,white
Michigan,MI,1,4.25%,$0,Flat state income tax rate,Flat income tax rate,red,black
Minnesota,MN,3,9.85%,"$337,930",Progressive state income tax rates,Progressive income tax rates,blue,white
Mississippi,MS,2,4.00%,$10k,Nearly flat state income tax rates,Nearly flat income tax rates,purple,black
Missouri,MO,3,4.70%,"$41,636",Progressive state income tax rates,Progressive income tax rates,blue,white
Montana,MT,3,5.65%,$127.2k,Progressive state income tax rates,Progressive income tax rates,blue,white
Nebraska,NE,3,4.55%,"$49,530",Progressive state income tax rates,Progressive income tax rates,blue,white
Nevada,NV,0,0.00%,$0,No state labor income tax,No income tax,#D8D3D3,black
New Hampshire,NH,0,0.00%,$0,No state labor income tax,No income tax,#D8D3D3,black
New Jersey,NJ,3,10.75%,$1m,Progressive state income tax rates,Progressive income tax rates,blue,white
New Mexico,NM,3,5.90%,$347.2k,Progressive state income tax rates,Progressive income tax rates,blue,white
New York,NY,3,10.90%,$25m,Progressive state income tax rates,Progressive income tax rates,blue,white
North Carolina,NC,1,3.99%,$0,Flat state income tax rate,Flat income tax rate,red,black
North Dakota,ND,3,2.50%,"$330,275",Progressive state income tax rates,Progressive income tax rates,blue,white
Ohio,OH,3,2.75%,"$26,050",Progressive state income tax rates,Progressive income tax rates,blue,white
Oklahoma,OK,2,4.50%,$14.4k,Nearly flat state income tax rates,Nearly flat income tax rates,purple,black
Oregon,OR,3,9.90%,$250k,Progressive state income tax rates,Progressive income tax rates,blue,white
Pennsylvania,PA,1,3.07%,$0,Flat state income tax rate,Flat income tax rate,red,black
Rhode Island,RI,3,5.99%,"$186,450",Progressive state income tax rates,Progressive income tax rates,blue,white
South Carolina,SC,3,6.00%,"$50,430",Progressive state income tax rates,Progressive income tax rates,blue,white
South Dakota,SD,0,0.00%,$0,No state labor income tax,No income tax,#D8D3D3,black
Tennessee,TN,0,0.00%,$0,No state labor income tax,No income tax,#D8D3D3,black
Texas,TX,0,0.00%,$0,No state labor income tax,No income tax,#D8D3D3,black
Utah,UT,1,4.45%,$0,Flat state income tax rate,Flat income tax rate,red,black
Vermont,VT,3,8.75%,$304k,Progressive state income tax rates,Progressive income tax rates,blue,white
Virginia,VA,2,5.75%,$17k,Nearly flat state income tax rates,Nearly flat income tax rates,purple,black
Washington,WA,0,0.00%,$0,No state labor income tax,No income tax,#D8D3D3,black
West Virginia,WV,3,4.82%,$60k,Progressive state income tax rates,Progressive income tax rates,blue,white
Wisconsin,WI,3,7.65%,"$443,630",Progressive state income tax rates,Progressive income tax rates,blue,white
Wyoming,WY,0,0.00%,$0,No state labor income tax,No income tax,#D8D3D3,black
