State,Abbrev,TaxType,TopRate,TopBracketStart,TaxType_str,TaxType_str_short,fill_color,label_color
Alabama,AL,1,6.50%,$0,Flat state corporate income tax rate,Flat corp income tax rate,red,black
Alaska,AK,3,9.40%,$222k,Progressive state corporate income tax rates,Progressive corp income tax rates,blue,white
Arizona,AZ,1,4.90%,$0,Flat state corporate income tax rate,Flat corp income tax rate,red,black
Arkansas,AR,2,4.10%,$11k,Nearly flat state corporate income tax rates,Nearly flat corp income tax rates,purple,black
California,CA,1,8.84%,$0,Flat state corporate income tax rate,Flat corp income tax rate,red,black
Colorado,CO,1,4.40%,$0,Flat state corporate income tax rate,Flat corp income tax rate,red,black
Connecticut,CT,3,8.25%,$100m,Progressive state corporate income tax rates,Progressive corp income tax rates,blue,white
Delaware,DE,1,8.70%,$0,Flat state corporate income tax rate,Flat corp income tax rate,red,black
District of Columbia,DC,1,8.25%,$0,Flat state corporate income tax rate,Flat corp income tax rate,red,black
Florida,FL,2,5.50%,$50k,Nearly flat state corporate income tax rates,Nearly flat corp income tax rates,purple,black
Georgia,GA,1,5.19%,$0,Flat state corporate income tax rate,Flat corp income tax rate,red,black
Hawaii,HI,3,6.40%,$100k,Progressive state corporate income tax rates,Progressive corp income tax rates,blue,white
Idaho,ID,1,5.3%,$0,Flat state corporate income tax rate,Flat corp income tax rate,red,black
Illinois,IL,1,9.50%,$0,Flat state corporate income tax rate,Flat corp income tax rate,red,black
Indiana,IN,1,4.90%,$0,Flat state corporate income tax rate,Flat corp income tax rate,red,black
Iowa,IA,3,7.10%,$100k,Progressive state corporate income tax rates,Progressive corp income tax rates,blue,white
Kansas,KS,2,7.00%,$50k,Nearly flat state corporate income tax rates,Nearly flat corp income tax rates,purple,black
Kentucky,KY,1,5.00%,$0,Flat state corporate income tax rate,Flat corp income tax rate,red,black
Louisiana,LA,1,5.50%,$0,Flat state corporate income tax rate,Flat corp income tax rate,red,black
Maine,ME,3,8.93%,$3.5m,Progressive state corporate income tax rates,Progressive corp income tax rates,blue,white
Maryland,MD,1,8.25%,$0,Flat state corporate income tax rate,Flat corp income tax rate,red,black
Massachusetts,MA,1,8.00%,$0,Flat state corporate income tax rate,Flat corp income tax rate,red,black
Michigan,MI,1,6.00%,$0,Flat state corporate income tax rate,Flat corp income tax rate,red,black
Minnesota,MN,1,9.80%,$0,Flat state corporate income tax rate,Flat corp income tax rate,red,black
Mississippi,MS,2,5.00%,$10k,Nearly flat state corporate income tax rates,Nearly flat corp income tax rates,purple,black
Missouri,MO,1,4.00%,$0,Flat state corporate income tax rate,Flat corp income tax rate,red,black
Montana,MT,1,6.75%,$0,Flat state corporate income tax rate,Flat corp income tax rate,red,black
Nebraska,NE,1,4.55%,$0,Flat state corporate income tax rate,Flat corp income tax rate,red,black
Nevada,NV,0,0.00%,$0,No state corporate income tax,No corp income tax,#D8D3D3,black
New Hampshire,NH,1,7.50%,$0,Flat state corporate income tax rate,Flat corp income tax rate,red,black
New Jersey,NJ,3,11.50%,$10m,Progressive state corporate income tax rates,Progressive corp income tax rates,blue,white
New Mexico,NM,1,5.90%,$0k,Flat state corporate income tax rate,Flat corp income tax rate,red,black
New York,NY,3,7.25%,$5m,Progressive state corporate income tax rates,Progressive corp income tax rates,blue,white
North Carolina,NC,1,2.00%,$0,Flat state corporate income tax rate,Flat corp income tax rate,red,black
North Dakota,ND,2,4.31%,$50k,Nearly flat state corporate income tax rates,Nearly flat corp income tax rates,purple,black
Ohio,OH,0,0.00%,$0,No state corporate income tax,No corp income tax,#D8D3D3,black
Oklahoma,OK,1,4.00%,$0,Flat state corporate income tax rate,Flat corp income tax rate,red,black
Oregon,OR,3,7.60%,$1m,Progressive state corporate income tax rates,Progressive corp income tax rates,blue,white
Pennsylvania,PA,1,7.49%,$0,Flat state corporate income tax rate,Flat corp income tax rate,red,black
Rhode Island,RI,1,7.00%,$0,Flat state corporate income tax rate,Flat corp income tax rate,red,black
South Carolina,SC,1,5.00%,$0,Flat state corporate income tax rate,Flat corp income tax rate,red,black
South Dakota,SD,0,0.00%,$0,No state corporate income tax,No corp income tax,#D8D3D3,black
Tennessee,TN,1,6.50%,$0,Flat state corporate income tax rate,Flat corp income tax rate,red,black
Texas,TX,0,0.00%,$0,No state corporate income tax,No corp income tax,#D8D3D3,black
Utah,UT,1,4.45%,$0,Flat state corporate income tax rate,Flat corp income tax rate,red,black
Vermont,VT,2,8.50%,$25k,Nearly flat state corporate income tax rates,Nearly flat corp income tax rates,purple,black
Virginia,VA,1,6.00%,$0,Flat state corporate income tax rate,Flat corp income tax rate,red,black
Washington,WA,0,0.00%,$0,No state corporate income tax,No corp income tax,#D8D3D3,black
West Virginia,WV,1,6.50%,$0,Flat state corporate income tax rate,Flat corp income tax rate,red,black
Wisconsin,WI,1,7.90%,$0,Flat state corporate income tax rate,Flat corp income tax rate,red,black
Wyoming,WY,0,0.00%,$0,No state corporate income tax,No corp income tax,#D8D3D3,black
